Registration ID,Registration Date,Year,Month,MonthName,Week,Competition,Student Name,School,Grade,City,Country,Registration Source
REG-2026-00516,2026-01-01,2026,1,Jan,1,Student Speaker Competition,Student 2026_00516,The Millennium School,11,Abu Dhabi,UAE,Partner School
REG-2026-00876,2026-01-01,2026,1,Jan,1,International School Olympiad,Student 2026_00876,GEMS Modern Academy,3,Abu Dhabi,UAE,Partner School
REG-2026-00105,2026-01-01,2026,1,Jan,1,Student Speaker Competition,Student 2026_00105,Greenwood International School,6,Bengaluru,India,Social Media
REG-2026-01760,2026-01-01,2026,1,Jan,1,International School Olympiad,Student 2026_01760,Delhi International School,6,Mumbai,India,Social Media
REG-2026-01144,2026-01-01,2026,1,Jan,1,AI & Robotics Challenge,Student 2026_01144,The Millennium School,5,New Delhi,India,Social Media
REG-2026-01204,2026-01-01,2026,1,Jan,1,International Mathematics Olympiad,Student 2026_01204,Gurukul Global School,12,Abu Dhabi,UAE,School Outreach
REG-2026-00752,2026-01-01,2026,1,Jan,1,Student Speaker Competition,Student 2026_00752,The Indian High School,8,Dubai,India,School Outreach
REG-2026-01174,2026-01-01,2026,1,Jan,1,AI & Robotics Challenge,Student 2026_01174,The Indian High School,12,Sharjah,UAE,WhatsApp
REG-2026-00620,2026-01-01,2026,1,Jan,1,International Science Olympiad,Student 2026_00620,Greenwood International School,5,Sharjah,Qatar,Partner School
REG-2026-00513,2026-01-01,2026,1,Jan,1,International Science Olympiad,Student 2026_00513,GEMS Modern Academy,7,Gurugram,UAE,Website
REG-2026-00472,2026-01-01,2026,1,Jan,1,International Mathematics Olympiad,Student 2026_00472,Global Indian International School,6,Doha,India,Social Media
REG-2026-01752,2026-01-01,2026,1,Jan,1,Student Speaker Competition,Student 2026_01752,Global Indian International School,12,Mumbai,India,WhatsApp
REG-2026-01366,2026-01-01,2026,1,Jan,1,International School Olympiad,Student 2026_01366,Amity International School,9,Dubai,Qatar,Website
REG-2026-00797,2026-01-01,2026,1,Jan,1,International School Olympiad,Student 2026_00797,GEMS Modern Academy,11,Abu Dhabi,India,Partner School
REG-2026-00930,2026-01-02,2026,1,Jan,1,International Science Olympiad,Student 2026_00930,Delhi Public School,10,Doha,India,Partner School
REG-2026-00866,2026-01-02,2026,1,Jan,1,International Coding Olympiad,Student 2026_00866,Amity International School,5,New Delhi,India,School Outreach
REG-2026-00046,2026-01-02,2026,1,Jan,1,International Coding Olympiad,Student 2026_00046,Gurukul Global School,1,Dubai,UAE,School Outreach
REG-2026-01053,2026-01-02,2026,1,Jan,1,International Mathematics Olympiad,Student 2026_01053,The Indian High School,12,Mumbai,UAE,WhatsApp
REG-2026-01525,2026-01-02,2026,1,Jan,1,Winter Painting Competition,Student 2026_01525,Greenwood International School,3,Bengaluru,India,School Outreach
REG-2026-01017,2026-01-02,2026,1,Jan,1,Winter Painting Competition,Student 2026_01017,Amity International School,1,Mumbai,India,School Outreach
REG-2026-01508,2026-01-02,2026,1,Jan,1,Young Innovators Challenge,Student 2026_01508,GEMS Modern Academy,8,Doha,UAE,Social Media
REG-2026-00172,2026-01-03,2026,1,Jan,1,Student Speaker Competition,Student 2026_00172,Delhi International School,5,Dubai,Qatar,Unknown
REG-2026-02020,2026-01-03,2026,1,Jan,1,Young Innovators Challenge,Student 2026_02020,Amity International School,8,Gurugram,UAE,Website
REG-2026-01217,2026-01-03,2026,1,Jan,1,Student Speaker Competition,Student 2026_01217,Gurukul Global School,8,Dubai,Qatar,Social Media
REG-2026-01226,2026-01-03,2026,1,Jan,1,Winter Painting Competition,Student 2026_01226,Greenwood International School,5,Bengaluru,UAE,School Outreach
REG-2026-01539,2026-01-03,2026,1,Jan,1,Young Innovators Challenge,Student 2026_01539,The Millennium School,6,Dubai,India,Social Media
REG-2026-02147,2026-01-03,2026,1,Jan,1,International School Olympiad,Student 2026_02147,Delhi International School,1,Bengaluru,India,Website
REG-2026-02105,2026-01-04,2026,1,Jan,1,International Mathematics Olympiad,Student 2026_02105,Oakridge International School,2,Doha,UAE,WhatsApp
REG-2026-00904,2026-01-04,2026,1,Jan,1,International Mathematics Olympiad,Student 2026_00904,Sunrise Public School,4,Dubai,UAE,Partner School
REG-2026-00099,2026-01-04,2026,1,Jan,1,International Mathematics Olympiad,Student 2026_00099,Sunrise Public School,8,Abu Dhabi,UAE,Email Campaign
REG-2026-00180,2026-01-04,2026,1,Jan,1,Student Speaker Competition,Student 2026_00180,The Indian High School,8,New Delhi,UAE,Partner School
REG-2026-00004,2026-01-04,2026,1,Jan,1,International Science Olympiad,Student 2026_00004,The Indian High School,3,Gurugram,UAE,Website
REG-2026-02091,2026-01-04,2026,1,Jan,1,Young Innovators Challenge,Student 2026_02091,The Millennium School,1,Abu Dhabi,India,Social Media
REG-2026-00897,2026-01-04,2026,1,Jan,1,International School Olympiad,Student 2026_00897,Gurukul Global School,10,Dubai,UAE,Website
REG-2026-01627,2026-01-04,2026,1,Jan,1,International Coding Olympiad,Student 2026_01627,Gurukul Global School,9,Abu Dhabi,UAE,Website
REG-2026-00699,2026-01-04,2026,1,Jan,1,International Coding Olympiad,Student 2026_00699,The Millennium School,10,Sharjah,UAE,Partner School
REG-2026-00688,2026-01-04,2026,1,Jan,1,International Mathematics Olympiad,Student 2026_00688,Delhi International School,10,Sharjah,UAE,Partner School
REG-2026-01820,2026-01-04,2026,1,Jan,1,International Coding Olympiad,Student 2026_01820,Global Indian International School,9,Sharjah,UAE,Email Campaign
REG-2026-00719,2026-01-05,2026,1,Jan,2,Student Speaker Competition,Student 2026_00719,Delhi Public School,8,Gurugram,UAE,Website
REG-2026-02034,2026-01-05,2026,1,Jan,2,International Coding Olympiad,Student 2026_02034,Sunrise Public School,11,Mumbai,India,WhatsApp
REG-2026-00001,2026-01-05,2026,1,Jan,2,Young Innovators Challenge,Student 2026_00001,Amity International School,10,Abu Dhabi,India,Email Campaign
REG-2026-00776,2026-01-05,2026,1,Jan,2,Young Innovators Challenge,Student 2026_00776,Delhi International School,5,Gurugram,India,Email Campaign
REG-2026-00894,2026-01-05,2026,1,Jan,2,Young Innovators Challenge,Student 2026_00894,GEMS Modern Academy,1,Abu Dhabi,India,Social Media
REG-2026-00728,2026-01-05,2026,1,Jan,2,International Science Olympiad,Student 2026_00728,Sunrise Public School,11,Gurugram,India,Website
REG-2026-02071,2026-01-05,2026,1,Jan,2,International Coding Olympiad,Student 2026_02071,Oakridge International School,8,Gurugram,India,School Outreach
REG-2026-00948,2026-01-06,2026,1,Jan,2,International Science Olympiad,Student 2026_00948,Global Indian International School,5,Doha,UAE,Website
REG-2026-00191,2026-01-06,2026,1,Jan,2,Student Speaker Competition,Student 2026_00191,Bright Future Academy,8,Abu Dhabi,UAE,Website
REG-2026-01562,2026-01-06,2026,1,Jan,2,International School Olympiad,Student 2026_01562,Amity International School,11,Doha,UAE,Social Media
REG-2026-01287,2026-01-06,2026,1,Jan,2,International School Olympiad,Student 2026_01287,Greenwood International School,10,Abu Dhabi,India,Social Media
REG-2026-02121,2026-01-06,2026,1,Jan,2,International Coding Olympiad,Student 2026_02121,GEMS Modern Academy,2,Doha,UAE,Social Media
REG-2026-01695,2026-01-06,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01695,Unknown School,3,Abu Dhabi,UAE,Email Campaign
REG-2026-01411,2026-01-06,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01411,Sunrise Public School,9,Mumbai,UAE,Partner School
REG-2026-00061,2026-01-06,2026,1,Jan,2,International Mathematics Olympiad,Student 2026_00061,Sunrise Public School,2,Gurugram,UAE,Email Campaign
REG-2026-00339,2026-01-06,2026,1,Jan,2,Winter Painting Competition,Student 2026_00339,The Indian High School,10,Bengaluru,India,Partner School
REG-2026-00540,2026-01-07,2026,1,Jan,2,International Mathematics Olympiad,Student 2026_00540,GEMS Modern Academy,12,Sharjah,India,Email Campaign
REG-2026-01002,2026-01-07,2026,1,Jan,2,Student Speaker Competition,Student 2026_01002,Delhi International School,1,New Delhi,Qatar,School Outreach
REG-2026-00698,2026-01-07,2026,1,Jan,2,International School Olympiad,Student 2026_00698,Greenwood International School,5,Doha,UAE,Partner School
REG-2026-01029,2026-01-07,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01029,Global Indian International School,11,Doha,UAE,Email Campaign
REG-2026-00970,2026-01-07,2026,1,Jan,2,Student Speaker Competition,Student 2026_00970,Global Indian International School,2,Sharjah,India,Email Campaign
REG-2026-01594,2026-01-07,2026,1,Jan,2,Winter Painting Competition,Student 2026_01594,Delhi International School,8,Dubai,Qatar,Social Media
REG-2026-01702,2026-01-07,2026,1,Jan,2,Student Speaker Competition,Student 2026_01702,Delhi International School,8,Bengaluru,UAE,Partner School
REG-2026-01511,2026-01-07,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01511,Delhi International School,12,New Delhi,UAE,Email Campaign
REG-2026-00609,2026-01-08,2026,1,Jan,2,Young Innovators Challenge,Student 2026_00609,The Indian High School,9,Dubai,UAE,WhatsApp
REG-2026-01139,2026-01-08,2026,1,Jan,2,Student Speaker Competition,Student 2026_01139,Gurukul Global School,10,New Delhi,UAE,Website
REG-2026-01094,2026-01-08,2026,1,Jan,2,International Coding Olympiad,Student 2026_01094,Greenwood International School,11,Abu Dhabi,India,Social Media
REG-2026-01419,2026-01-08,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01419,Delhi Public School,11,Doha,Qatar,Partner School
REG-2026-01578,2026-01-08,2026,1,Jan,2,International Coding Olympiad,Student 2026_01578,Greenwood International School,3,Abu Dhabi,UAE,Partner School
REG-2026-00503,2026-01-08,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_00503,Amity International School,10,Gurugram,Qatar,School Outreach
REG-2026-00913,2026-01-08,2026,1,Jan,2,Student Speaker Competition,Student 2026_00913,Delhi Public School,2,New Delhi,India,School Outreach
REG-2026-01472,2026-01-08,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01472,Bright Future Academy,4,Sharjah,India,School Outreach
REG-2026-00560,2026-01-08,2026,1,Jan,2,International Coding Olympiad,Student 2026_00560,The Millennium School,11,Sharjah,India,School Outreach
REG-2026-01520,2026-01-09,2026,1,Jan,2,International Science Olympiad,Student 2026_01520,GEMS Modern Academy,6,Abu Dhabi,UAE,Social Media
REG-2026-00524,2026-01-09,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_00524,Delhi Public School,8,Mumbai,UAE,Social Media
REG-2026-01655,2026-01-09,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01655,Oakridge International School,2,Gurugram,India,Social Media
REG-2026-01565,2026-01-09,2026,1,Jan,2,International School Olympiad,Student 2026_01565,Delhi Public School,2,Gurugram,Qatar,Partner School
REG-2026-01294,2026-01-09,2026,1,Jan,2,International Mathematics Olympiad,Student 2026_01294,Delhi Public School,4,Doha,UAE,WhatsApp
REG-2026-00642,2026-01-09,2026,1,Jan,2,Young Innovators Challenge,Student 2026_00642,Delhi International School,2,Abu Dhabi,India,WhatsApp
REG-2026-01831,2026-01-09,2026,1,Jan,2,International Coding Olympiad,Student 2026_01831,Bright Future Academy,9,Sharjah,UAE,Website
REG-2026-00190,2026-01-09,2026,1,Jan,2,International School Olympiad,Student 2026_00190,The Indian High School,10,Sharjah,UAE,Email Campaign
REG-2026-01463,2026-01-09,2026,1,Jan,2,International School Olympiad,Student 2026_01463,Delhi International School,4,Mumbai,UAE,Email Campaign
REG-2026-00614,2026-01-09,2026,1,Jan,2,International Coding Olympiad,Student 2026_00614,Amity International School,12,Mumbai,UAE,WhatsApp
REG-2026-01689,2026-01-09,2026,1,Jan,2,Young Innovators Challenge,Student 2026_01689,Bright Future Academy,2,Bengaluru,UAE,Email Campaign
REG-2026-01517,2026-01-09,2026,1,Jan,2,AI & Robotics Challenge,Student 2026_01517,Delhi Public School,11,Doha,UAE,Email Campaign
REG-2026-00408,2026-01-09,2026,1,Jan,2,International School Olympiad,Student 2026_00408,Delhi International School,9,Gurugram,UAE,School Outreach
REG-2026-01841,2026-01-09,2026,1,Jan,2,International Mathematics Olympiad,Student 2026_01841,Global Indian International School,11,New Delhi,UAE,Website
